gender,grade,provin,school,worklocation,NCEE_science,NCEE_art,gpa,wageb,wagea,lnbwage,lnawage,nonac,gradchoice,major,hheconstat,Pedu,Poccu,emptype,sector
0,2009,51,2,51,,,3.522,9848.8564,9000,9.1951103,9.1049795,1,1,3,0,3,2,2,2
0,2009,51,2,51,,,3.64,8754.5391,12000,9.0773277,9.392662,1,0,3,0,1,3,3,
1,2009,51,2,51,,,3.225,8754.5391,9000,9.0773277,9.1049795,0,0,3,0,1,3,3,1
0,2009,50,2,11,,,3.822,6565.9043,24000,8.7896452,10.085809,1,0,3,0,2,3,3,2
0,2009,51,2,51,,,3.327,5471.5869,10000,8.6073236,9.2103405,0,0,3,0,3,1,2,1
1,2009,51,2,51,,,3.419,5471.5869,10000,8.6073236,9.2103405,0,1,3,0,3,1,3,2
0,2009,21,2,11,,,3.709,7113.063,24000,8.869688,10.085809,0,0,3,1,3,2,3,1
0,2009,51,2,51,,,3.317,3064.0889,6500,8.0275059,8.7795572,0,0,3,0,1,3,3,1
0,2009,63,2,63,,,3.374,4924.4282,12000,8.5019636,9.392662,0,0,3,1,3,1,2,2
1,2009,41,2,44,,,3.294,10943.174,20000,9.3004713,9.9034872,1,0,3,0,2,0,2,2
0,2009,51,2,51,,,3.7,8754.5391,12000,9.0773277,9.392662,0,1,3,0,1,3,3,1
0,2009,61,2,61,,,3.493,5471.5869,8000,8.6073236,8.9871969,0,0,3,1,3,2,2,1
0,2009,64,2,64,,,3.378,9848.8564,3300,9.1951103,8.1016779,0,0,3,1,2,4,1,1
0,2009,13,2,11,,,3.302,13131.809,15000,9.4827929,9.6158056,0,0,3,1,3,1,2,2
1,2009,50,2,50,,,2.979,6565.9043,25000,8.7896452,10.126631,1,0,3,1,3,2,2,2
0,2009,50,2,50,,,2.329,3282.9521,4000,8.0964985,8.2940493,0,2,3,0,1,0,1,1
0,2009,51,2,50,,,3.941,7660.2217,22000,8.9437962,9.9987974,0,2,3,1,3,1,3,2
0,2009,45,2,45,,,3.63,3830.1108,6000,8.2506495,8.6995144,0,0,3,1,3,0,2,1
1,2009,51,2,51,,,2.94,3830.1108,8000,8.2506495,8.9871969,0,0,3,0,2,4,2,1
0,2009,51,2,51,,,3.424,3830.1108,6000,8.2506495,8.6995144,0,0,3,0,2,4,2,1
0,2009,51,2,,,,2.859,10943.174,10000,9.3004713,9.2103405,1,0,3,1,3,2,2,2
1,2009,41,2,11,,,3.175,4924.4282,9000,8.5019636,9.1049795,1,0,3,0,2,1,2,2
0,2009,13,2,11,,,3.731,7660.2217,7000,8.9437962,8.8536654,0,1,3,1,2,3,2,1
0,2009,13,2,11,,,3.455,6565.9043,12000,8.7896452,9.392662,1,1,3,1,3,2,3,2
0,2009,51,2,51,,,3.483,6565.9043,8000,8.7896452,8.9871969,1,0,3,1,3,1,2,1
0,2009,63,2,51,,,3.241,5471.5869,15000,8.6073236,9.6158056,1,0,3,1,3,2,2,2
0,2009,35,16,35,,,3.66,8754.5391,15000,9.0773277,9.6158056,0,0,2,1,3,1,3,2
1,2009,53,2,51,,,3.072,3282.9521,18000,8.0964985,9.7981272,1,0,3,0,3,1,2,1
1,2009,53,2,,,,2.911,4596.1333,7500,8.432971,8.922658,0,0,3,0,2,0,,1
1,2009,44,4,44,,,2.713,17509.078,20000,9.7704744,9.9034872,0,1,3,0,3,2,2,2
1,2009,65,4,65,,,2.385,8754.5391,10000,9.0773277,9.2103405,1,2,3,1,1,3,2,2
0,2009,46,4,46,,,3.483,6237.6094,5700,8.7383518,8.648221,0,2,3,1,3,2,1,1
0,2009,51,4,11,,,3.516,8754.5391,20000,9.0773277,9.9034872,0,1,3,1,3,1,3,1
0,2009,63,4,63,,,3.21,6565.9043,7000,8.7896452,8.8536654,1,1,3,0,1,3,2,1
0,2009,51,4,51,,,3.301,1969.7714,7000,7.5856729,8.8536654,0,0,3,0,3,2,2,2
0,2009,13,4,51,,,2.883,10943.174,20000,9.3004713,9.9034872,1,0,3,0,2,1,3,2
0,2009,45,6,45,,,3.223,5471.5869,5000,8.6073236,8.5171928,0,0,3,0,3,0,1,1
0,2009,31,4,31,,,2.737,6565.9043,12000,8.7896452,9.392662,0,0,3,1,3,1,2,2
0,2009,50,4,50,,,3.266,3830.1108,7000,8.2506495,8.8536654,0,0,3,0,1,3,2,1
0,2009,51,4,51,,,3.382,3282.9521,6000,8.0964985,8.6995144,0,0,3,0,1,4,3,1
0,2009,51,4,44,,,3.51,5471.5869,15000,8.6073236,9.6158056,1,0,3,0,3,1,3,1
1,2009,45,4,45,,,3.612,3282.9521,7000,8.0964985,8.8536654,1,0,3,0,3,1,2,2
0,2009,42,4,32,,,4.092,21886.348,20000,9.993618,9.9034872,0,1,3,1,2,4,2,1
0,2009,50,4,51,,,3.221,6565.9043,13000,8.7896452,9.4727049,1,0,3,0,2,3,2,1
1,2009,62,5,62,,,2.38,4924.4282,4500,8.5019636,8.4118328,0,0,3,1,3,2,1,1
0,2009,51,5,51,,,3.211,10943.174,9000,9.3004713,9.1049795,0,2,3,0,3,1,1,1
0,2009,45,5,44,,,3.833,9848.8564,14000,9.1951103,9.546813,0,1,3,1,3,1,3,2
0,2009,62,5,,,,3.618,6565.9043,11000,8.7896452,9.3056507,1,0,3,0,2,3,2,2
0,2009,23,5,44,,,3.014,3830.1108,22000,8.2506495,9.9987974,1,0,3,1,3,2,3,1
0,2009,32,5,33,,,3.367,5252.7236,13000,8.5665016,9.4727049,0,0,3,1,2,3,3,1
0,2009,15,5,11,,,3.347,8754.5391,15000,9.0773277,9.6158056,0,0,3,1,3,2,3,2
0,2009,51,5,51,,,3.142,8754.5391,100000,9.0773277,11.512925,1,1,3,1,2,1,3,1
1,2009,51,5,11,,,3.08,5471.5869,5000,8.6073236,8.5171928,0,0,3,1,3,2,2,2
0,2009,32,16,32,,,3.851,21886.348,20000,9.993618,9.9034872,1,1,2,1,2,1,2,
