,gender,gpa,wageb,wagea,lnbwage,lnawage,gradchoice,major,hheconstat,Pedu,Poccu
230,1,2.713,17509.078,20000,9.7704744,9.9034872,1,0,0,3,2
231,1,2.385,8754.5391,10000,9.0773277,9.2103405,2,0,1,1,3
232,0,3.483,6237.6094,5700,8.7383518,8.648221,2,0,1,3,2
233,0,3.516,8754.5391,20000,9.0773277,9.9034872,1,0,1,3,1
234,0,3.21,6565.9043,7000,8.7896452,8.8536654,1,0,0,1,3
235,0,3.301,1969.7714,7000,7.5856729,8.8536654,0,0,0,3,2
236,0,2.883,10943.174,20000,9.3004713,9.9034872,0,0,0,2,1
237,0,3.223,5471.5869,5000,8.6073236,8.5171928,0,0,0,3,0
238,0,2.737,6565.9043,12000,8.7896452,9.392662,0,0,1,3,1
239,0,3.266,3830.1108,7000,8.2506495,8.8536654,0,0,0,1,3
240,0,3.382,3282.9521,6000,8.0964985,8.6995144,0,0,0,1,4
241,0,3.51,5471.5869,15000,8.6073236,9.6158056,0,0,0,3,1
242,1,3.612,3282.9521,7000,8.0964985,8.8536654,0,0,0,3,1
243,0,4.092,21886.348,20000,9.993618,9.9034872,1,0,1,2,4
244,0,3.221,6565.9043,13000,8.7896452,9.4727049,0,0,0,2,3
245,1,2.38,4924.4282,4500,8.5019636,8.4118328,0,0,1,3,2
246,0,3.211,10943.174,9000,9.3004713,9.1049795,2,0,0,3,1
247,0,3.833,9848.8564,14000,9.1951103,9.546813,1,0,1,3,1
248,0,3.618,6565.9043,11000,8.7896452,9.3056507,0,0,0,2,3
249,0,3.014,3830.1108,22000,8.2506495,9.9987974,0,0,1,3,2
250,0,3.367,5252.7236,13000,8.5665016,9.4727049,0,0,1,2,3
251,0,3.347,8754.5391,15000,9.0773277,9.6158056,0,0,1,3,2
252,0,3.142,8754.5391,100000,9.0773277,11.512925,1,0,1,2,1
253,1,3.08,5471.5869,5000,8.6073236,8.5171928,0,0,1,3,2
254,0,3.851,21886.348,20000,9.993618,9.9034872,1,1,1,2,1
255,1,2.461,5471.5869,30000,8.6073236,10.308952,0,0,1,2,1
256,0,3.898,6565.9043,10000,8.7896452,9.2103405,1,0,0,1,3
257,1,3.306,7660.2217,20000,8.9437962,9.9034872,0,0,1,3,1
258,1,2.842,6565.9043,14000,8.7896452,9.546813,0,0,1,3,4
259,0,3.896,10943.174,15000,9.3004713,9.6158056,1,0,1,2,2
260,1,3.714,16414.762,20000,9.7059364,9.9034872,1,0,0,3,2
261,0,3.465,10943.174,15000,9.3004713,9.6158056,1,0,1,3,1
262,0,3.49,4184.1274,3900,8.3390532,8.2687321,0,0,1,2,0
263,0,3.647,4377.2695,5000,8.3841801,8.5171928,0,0,0,1,3
264,0,3.504,10943.174,17000,9.3004713,9.7409687,0,0,1,3,2
265,0,3.141,3282.9521,12000,8.0964985,9.392662,0,0,1,1,3
266,0,3.299,4158.4063,5000,8.3328867,8.5171928,0,0,1,2,4
267,0,2.506,6565.9043,8000,8.7896452,8.9871969,2,0,1,3,1
268,0,3.533,3830.1108,7500,8.2506495,8.922658,0,0,0,1,3
269,0,3.227,7660.2217,6000,8.9437962,8.6995144,0,0,1,3,1
270,0,3.428,9301.6982,20000,9.1379519,9.9034872,0,0,1,1,4
271,0,3.107,2188.6348,3000,7.6910334,8.0063677,2,0,0,1,4
272,1,2.176,10943.174,15000,9.3004713,9.6158056,0,0,0,1,3
273,1,3.18,5471.5869,33000,8.6073236,10.404263,0,1,0,3,1
274,0,3.041,9848.8564,9000,9.1951103,9.1049795,0,0,0,3,0
275,0,3.277,7660.2217,8000,8.9437962,8.9871969,1,0,0,1,3
276,1,3.316,5471.5869,7000,8.6073236,8.8536654,1,0,1,3,1
277,0,3.693,4377.2695,5000,8.3841801,8.5171928,0,0,0,1,3
278,1,2.907,6565.9043,9400,8.7896452,9.1484652,0,0,1,3,2
279,0,2.875,3447.0999,10000,8.1452885,9.2103405,0,0,0,1,3
280,0,2.945,5471.5869,8000,8.6073236,8.9871969,0,0,1,3,2
281,1,2.671,3830.1108,12000,8.2506495,9.392662,0,0,0,2,1
282,0,3.433,3282.9521,13000,8.0964985,9.4727049,0,0,1,1,4
283,1,3.704,8207.3809,8800,9.0127888,9.0825071,1,0,0,1,3
284,0,3.485,6565.9043,10000,8.7896452,9.2103405,0,0,1,3,2
285,0,3.775,8207.3809,9400,9.0127888,9.1484652,1,0,0,2,3
286,1,3.666,21886.348,45000,9.993618,10.714417,1,0,1,2,4
287,0,3.58,9848.8564,9000,9.1951103,9.1049795,1,0,1,3,2
288,0,2.875,4377.2695,8000,8.3841801,8.9871969,0,0,1,3,2
289,0,3.756,13131.809,20000,9.4827929,9.9034872,0,0,1,3,2
290,0,3.433,3939.5427,4500,8.27882,8.4118328,0,0,1,3,1
291,0,3.529,8754.5391,11000,9.0773277,9.3056507,0,0,1,1,4
292,0,3.2,9301.6982,8500,9.1379519,9.047821,0,0,1,3,2
293,0,3.62,5471.5869,7500,8.6073236,8.922658,0,0,1,3,0
294,0,3.415,4377.2695,12000,8.3841801,9.392662,0,0,1,3,1
295,0,3.429,3282.9521,15000,8.0964985,9.6158056,0,0,1,2,3
296,1,2.886,5471.5869,10000,8.6073236,9.2103405,0,0,1,3,4
297,1,3.104,5471.5869,6000,8.6073236,8.6995144,1,0,0,2,4
298,1,3.368,3282.9521,15000,8.0964985,9.6158056,0,0,0,3,0
299,1,2.518,4377.2695,13000,8.3841801,9.4727049,0,0,1,1,2
